"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Mar 10 22:01:47 IST 2024","Sun Mar 10 22:01:48 IST 2024","561","Suite","Test","allureReportPackage.TestClass","allureReportPackage.TestClass","dropdownMethod","dropdownMethod","Verify the CheckBox of the Application"
"passed","Sun Mar 10 22:01:35 IST 2024","Sun Mar 10 22:01:39 IST 2024","3289","Suite","Test","allureReportPackage.TestClass","allureReportPackage.TestClass","alertMethod","alertMethod","Verify the DoubleClick of the Application"
"passed","Sun Mar 10 22:01:39 IST 2024","Sun Mar 10 22:01:47 IST 2024","8229","Suite","Test","allureReportPackage.TestClass","allureReportPackage.TestClass","radioCheckBoxMethod","radioCheckBoxMethod","Verify the RadioButton of the Application"
"passed","Sun Mar 10 22:01:19 IST 2024","Sun Mar 10 22:01:28 IST 2024","9245","Suite","Test","allureReportPackage.TestClass","allureReportPackage.TestClass","setUp"," login vaildation ","Verify the Title of the Application"
"passed","Sun Mar 10 22:01:29 IST 2024","Sun Mar 10 22:01:35 IST 2024","6502","Suite","Test","allureReportPackage.TestClass","allureReportPackage.TestClass","testMethod","testMethod","Verify the Button of the Application"
"skipped","Sun Mar 10 22:01:48 IST 2024","Sun Mar 10 22:01:48 IST 2024","3","Suite","Test","allureReportPackage.TestClass","allureReportPackage.TestClass","skipMethod","skipMethod","Verify the Skip Functionality"
